month,sale_date_month,sale_type,medical_flag,inventory_type,inventory_type_category,inventory_type_sub_category,strain_type,strain_name,product_name,price_competitive_flag,price_tiers_per_gram,retail_price_with_tax,unit_price_with_tax,piece_price_with_tax,tax_percent,product_pack_size_from_name,price_gram_wavg,calc_product_unit_weight_grams,calc_price_per_gram,unit_price_amt_avg,price_absolute_diff,price_percent_diff,discount_amt,sales_tax_amt,excise_tax_amt,total_tax_amt,retail_sales_amt,sales_qty,sold_to_licensee_dba,licensee_dba
2024-01-01,2024-01-01,Wholesale,Not Medical,Usable Cannabis,Flower and Plant,Pre-Rolls,Hybrid,Mixed,Harmony Farms PREROLL XJ-13 1g,Significantly Below Average,Under $5,19.9,1.99,1.99,0,1,2.57,1,1.99,1.99,0.58,-22.57,0,0,0,0,19.9,10,DOCKSIDE CANNABIS,HARMONY FARMS
2024-01-01,2024-01-01,Retail,Not Medical,Usable Cannabis,Flower and Plant,Consumable Flower,Hybrid,Devils Driver,Oz Gardenz - Devils Driver - 03.5g,Significantly Below Average,$5-$10,42,42,42,0.37,1,8.62,4,7.74,30.94,0.88,-10.24,102.81,32.17,133.67,165.84,361.35,15,NA,THE LUCKY LEAF
2024-01-01,2024-01-01,Medical,Medical,Concentrate For Inhalation,Concentrates,Inhalable Concentrates,Hybrid,Watermelon Belts,Disposable Cart - Watermelon Belts - 1g,Competitively Priced,$20-$25,28.05,28.05,28.05,0.37,1,21.97,1,21.99,21.99,0.02,0.09,5.61,0,6.06,6.06,16.38,1,NA,"GREEN LADY WESTSIDE, INC."
2024-01-01,2024-01-01,Retail,Not Medical,Usable Cannabis,Flower and Plant,Consumable Flower,Hybrid,Gg4,Kai'Dro - Flower - GG4 - 7g,Significantly Below Average,Under $5,50,50,50,0.37,1,9,7,4.88,34.13,4.12,-45.78,0,9.72,37.89,47.61,102.39,3,NA,T BROTHERS BUD LODGE
2024-01-01,2024-01-01,Wholesale,Not Medical,Concentrate For Inhalation,Concentrates,Inhalable Concentrates,Hybrid,Golden Pineapple,mama Js - concentrates - 1g - Golden Pineapple,Slightly Above Average,$5-$10,49.98,8.33,8.33,0,1,7.04,1,8.33,8.33,1.29,18.32,0,0,0,0,49.98,6,HAPPY TIME,MAMA JS
2024-01-01,2024-01-01,Retail,Not Medical,Concentrate For Inhalation,Concentrates,Inhalable Concentrates,Hybrid,Northernthundersnoopsdream,Laff Gas - Northern Thunder  Snoops Dream - 1pk -,Significantly Below Average,$5-$10,6.04,6.04,6.04,0,1,12.07,1,6.04,6.04,6.03,-49.92,0,0,0,0,12.09,2,NA,GROWERS OUTLET
2024-01-01,2024-01-01,Retail,Not Medical,Usable Cannabis,Flower and Plant,Pre-Rolls,Hybrid,Grand Daddy Purple,Grand Daddy Purple 1g Preroll,Significantly Below Average,$5-$10,7,7,7,0.37,1,7.47,1,5.43,5.43,2.04,-27.31,2.1,0.34,1.23,1.57,3.33,1,NA,A GREENER TODAY MARIJUANA
2024-01-01,2024-01-01,Retail,Not Medical,Usable Cannabis,Flower and Plant,Consumable Flower,Hybrid,Romulan Blue Dream,Flower 1g - Romulan Blue Dream - 1g,Competitively Priced,$5-$10,12,12,12,0.37,1,8.63,1,8.27,8.27,0.36,-4.21,1.2,2.47,8.73,11.2,23.6,3,NA,PRC
2024-01-01,2024-01-01,Wholesale,Not Medical,Ethanol Concentrate,Concentrates,Extracted Oils,Hybrid,Sweetapple,VAPOR SWEET APPLE 1G CARTRIDGE,Significantly Below Average,Under $5,50,5,5,0,1,12.68,1,5,5,7.68,-60.57,0,0,0,0,50,10,LOVELY BUDS DIVISION,FORBIDDEN FARMS
2024-01-01,2024-01-01,Wholesale,Not Medical,Usable Cannabis,Flower and Plant,Consumable Flower,Hybrid,Mixed,Yushi Horikichi Multi-Strain Packs - 5pk (3.5g),Significantly Below Average,Under $5,500,12.5,2.5,0,5,3.49,4,3.13,12.5,0.36,-10.32,0,0,0,0,500,40,THE REEF,SGB LLC
